Time,Airport,Altamount,Vashi,Virar,Malls
25,35.2,45.1,14.9,82.7,0
26,35.2,45.1,14.9,82.7,0
20,38.2,48.1,18.3,85.7,0
21,38.2,48.1,18.3,85.7,0
22,38.2,48.1,18.3,85.7,0
23,38.2,48.1,18.3,85.7,0
24,38.2,48.1,18.3,85.7,0
25,38.2,48.1,18.3,85.7,0
26,38.2,48.1,18.3,85.7,0
20,34.7,44.6,14.4,82.2,0
23,34.7,44.6,14.4,82.2,0
24,34.7,44.6,14.4,82.2,0
25,34.7,44.6,14.4,82.2,0
26,34.7,44.6,14.4,82.2,0
24,25.7,35.6,2.5,69.5,1
25,25.7,35.6,2.5,69.5,1
26,25.7,35.6,2.5,69.5,1
26,25.5,35.4,2.1,69.7,1
20,37.1,47,17.2,75.8,0
21,37.1,47,17.2,75.8,0
22,37.1,47,17.2,75.8,0
23,37.1,47,17.2,75.8,0
24,37.1,47,17.2,75.8,0
25,37.1,47,17.2,75.8,0
26,37.1,47,17.2,75.8,0
22,37.5,47.4,17.5,84.9,0
23,37.5,47.4,17.5,84.9,0
24,37.5,47.4,17.5,84.9,0
25,37.5,47.4,17.5,84.9,0
26,37.5,47.4,17.5,84.9,0
24,38.3,48.2,18.4,74.1,0
26,38.3,48.2,18.4,74.1,0
22,38.2,48.1,18.3,74.6,1
23,38.2,48.1,18.3,74.6,1
24,38.2,48.1,18.3,74.6,1
25,38.2,48.1,18.3,74.6,1
26,38.2,48.1,18.3,74.6,1
21,36.8,46.7,16.9,84.2,0
22,36.8,46.7,16.9,84.2,0
23,36.8,46.7,16.9,84.2,0
24,36.8,46.7,16.9,84.2,0
25,36.8,46.7,16.9,84.2,0
26,36.8,46.7,16.9,84.2,0
20,38.2,48.1,18.3,73.8,0
21,38.2,48.1,18.3,73.8,0
22,38.2,48.1,18.3,73.8,0
23,38.2,48.1,18.3,73.8,0
24,38.2,48.1,18.3,73.8,0
25,38.2,48.1,18.3,73.8,0
26,38.2,48.1,18.3,73.8,0
22,29.7,45.3,11.4,64,1
23,29.7,45.3,11.4,64,1
24,29.7,45.3,11.4,64,1
25,29.7,45.3,11.4,64,1
26,29.7,45.3,11.4,64,1
18,39,48.9,19.1,72.4,2
19,39,48.9,19.1,72.4,2
20,39,48.9,19.1,72.4,2
21,39,48.9,19.1,72.4,2
22,39,48.9,19.1,72.4,2
23,39,48.9,19.1,72.4,2
24,39,48.9,19.1,72.4,2
25,39,48.9,19.1,72.4,2
26,39,48.9,19.1,72.4,2
7,41.7,51.6,21.8,75.9,4
8,41.7,51.6,21.8,75.9,4
9,41.7,51.6,21.8,75.9,4
10,41.7,51.6,21.8,75.9,4
11,41.7,51.6,21.8,75.9,4
12,41.7,51.6,21.8,75.9,4
13,41.7,51.6,21.8,75.9,4
14,41.7,51.6,21.8,75.9,4
15,41.7,51.6,21.8,75.9,4
16,41.7,51.6,21.8,75.9,4
17,41.7,51.6,21.8,75.9,4
18,41.7,51.6,21.8,75.9,4
19,41.7,51.6,21.8,75.9,4
20,41.7,51.6,21.8,75.9,4
21,41.7,51.6,21.8,75.9,4
22,41.7,51.6,21.8,75.9,4
23,41.7,51.6,21.8,75.9,4
24,41.7,51.6,21.8,75.9,4
25,41.7,51.6,21.8,75.9,4
26,41.7,51.6,21.8,75.9,4
5,36.5,46.4,16.2,84,5
6,36.5,46.4,16.2,84,5
7,36.5,46.4,16.2,84,5
8,36.5,46.4,16.2,84,5
9,36.5,46.4,16.2,84,5
10,36.5,46.4,16.2,84,5
11,36.5,46.4,16.2,84,5
12,36.5,46.4,16.2,84,5
13,36.5,46.4,16.2,84,5
14,36.5,46.4,16.2,84,5
15,36.5,46.4,16.2,84,5
16,36.5,46.4,16.2,84,5
17,36.5,46.4,16.2,84,5
18,36.5,46.4,16.2,84,5
19,36.5,46.4,16.2,84,5
20,36.5,46.4,16.2,84,5
21,36.5,46.4,16.2,84,5
22,36.5,46.4,16.2,84,5
23,36.5,46.4,16.2,84,5
24,36.5,46.4,16.2,84,5
25,36.5,46.4,16.2,84,5
26,36.5,46.4,16.2,84,5
0,22.4,32.3,0,71.2,1
